epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.868,0.93432,0.99968,1.16512,0.77163,0.79954,0.83602,0.57153,1.06812,1.35835,1.3627,0.000662551,0.000662551,0.000662551
2,54.303,0.92139,0.71172,1.16491,0.86665,0.82239,0.90463,0.65332,0.99803,0.78228,1.20799,0.0013029,0.0013029,0.0013029
3,80.1708,0.89722,0.66152,1.14643,0.87193,0.8714,0.93371,0.69038,0.92638,0.81155,1.19188,0.00191685,0.00191685,0.00191685
4,106.196,0.88467,0.64759,1.14672,0.91661,0.9273,0.95969,0.75905,0.81426,0.53929,1.10675,0.0018812,0.0018812,0.0018812
5,132.429,0.84731,0.58679,1.11568,0.90583,0.91667,0.94657,0.73293,0.80972,0.5484,1.11286,0.0018416,0.0018416,0.0018416
6,158.939,0.82125,0.55939,1.09927,0.91818,0.93621,0.97152,0.77098,0.79802,0.52092,1.07554,0.001802,0.001802,0.001802
7,185.433,0.7985,0.5364,1.08697,0.93861,0.93724,0.97071,0.77993,0.75524,0.47646,1.05201,0.0017624,0.0017624,0.0017624
8,211.663,0.77867,0.51549,1.07519,0.90835,0.94959,0.97159,0.78548,0.74546,0.49064,1.04323,0.0017228,0.0017228,0.0017228
9,237.749,0.76348,0.49948,1.0646,0.93035,0.94818,0.97362,0.78796,0.77001,0.45011,1.06248,0.0016832,0.0016832,0.0016832
10,263.876,0.75084,0.48899,1.06124,0.93904,0.94136,0.97876,0.80161,0.73879,0.425,1.02903,0.0016436,0.0016436,0.0016436
11,290.446,0.74153,0.47438,1.05499,0.92807,0.95988,0.97553,0.7972,0.73641,0.43691,1.02084,0.001604,0.001604,0.001604
12,316.725,0.72286,0.46233,1.04318,0.92659,0.94793,0.9745,0.80096,0.73733,0.43347,1.02991,0.0015644,0.0015644,0.0015644
13,343.008,0.7109,0.45108,1.03652,0.93008,0.95791,0.97943,0.8078,0.73326,0.41069,1.01128,0.0015248,0.0015248,0.0015248
14,368.991,0.70895,0.44699,1.03961,0.93201,0.94497,0.97608,0.81136,0.73117,0.42375,1.04439,0.0014852,0.0014852,0.0014852
15,395.016,0.70505,0.44238,1.0405,0.92546,0.95062,0.97609,0.81425,0.71692,0.40505,1.00811,0.0014456,0.0014456,0.0014456
16,421.061,0.68732,0.43381,1.02515,0.9299,0.94342,0.97052,0.80129,0.71642,0.4209,1.00232,0.001406,0.001406,0.001406
17,446.937,0.6827,0.41932,1.02537,0.94264,0.9468,0.97824,0.82926,0.68544,0.38396,0.9878,0.0013664,0.0013664,0.0013664
18,472.927,0.6786,0.41423,1.02049,0.91472,0.96708,0.97875,0.81315,0.70723,0.41824,1.01037,0.0013268,0.0013268,0.0013268
19,498.711,0.67092,0.4146,1.01934,0.92015,0.95062,0.97737,0.81787,0.6928,0.40476,0.99454,0.0012872,0.0012872,0.0012872
20,524.559,0.6671,0.40317,1.01412,0.93179,0.95572,0.97746,0.80965,0.70453,0.40384,1.01551,0.0012476,0.0012476,0.0012476
