epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,550.441,0.65242,0.39665,1.00845,0.94321,0.93986,0.97921,0.82323,0.70651,0.39235,1.00312,0.001208,0.001208,0.001208
22,576.283,0.6426,0.38987,1.00395,0.93003,0.94959,0.97747,0.82708,0.68833,0.38289,0.99058,0.0011684,0.0011684,0.0011684
23,602.904,0.64429,0.38588,1.00106,0.92487,0.95473,0.97866,0.81949,0.69995,0.39025,0.99764,0.0011288,0.0011288,0.0011288
24,628.772,0.63488,0.38041,1.00098,0.9406,0.9537,0.97999,0.83037,0.70022,0.37848,0.99784,0.0010892,0.0010892,0.0010892
25,654.839,0.62924,0.37864,0.99745,0.92237,0.96566,0.97961,0.83245,0.68517,0.37257,0.9865,0.0010496,0.0010496,0.0010496
26,680.744,0.62228,0.37387,0.99064,0.93475,0.95799,0.97935,0.83476,0.67089,0.37588,0.9843,0.00101,0.00101,0.00101
27,706.659,0.61357,0.3697,0.9868,0.91539,0.96811,0.97896,0.83006,0.68569,0.37371,0.99696,0.0009704,0.0009704,0.0009704
28,732.669,0.60274,0.35876,0.98488,0.93836,0.94033,0.9801,0.83677,0.68214,0.37222,0.99378,0.0009308,0.0009308,0.0009308
29,758.663,0.59922,0.35605,0.98603,0.92022,0.96914,0.97798,0.83203,0.68475,0.37523,0.99545,0.0008912,0.0008912,0.0008912
30,784.537,0.59523,0.35159,0.98015,0.92705,0.95438,0.97795,0.82935,0.68207,0.3692,0.98038,0.0008516,0.0008516,0.0008516
31,810.403,0.58504,0.34569,0.97822,0.96105,0.92695,0.97984,0.82659,0.68826,0.37032,0.99748,0.000812,0.000812,0.000812
32,836.264,0.58031,0.33912,0.9768,0.92336,0.95988,0.97825,0.83374,0.68061,0.37757,0.98912,0.0007724,0.0007724,0.0007724
33,862.377,0.56992,0.33086,0.96655,0.94227,0.9537,0.97827,0.8384,0.67047,0.36874,0.97301,0.0007328,0.0007328,0.0007328
34,888.317,0.56305,0.32841,0.96514,0.93493,0.96079,0.97886,0.83504,0.68486,0.36949,0.99916,0.0006932,0.0006932,0.0006932
35,914.218,0.55736,0.32526,0.96043,0.93923,0.94753,0.97902,0.83316,0.68135,0.3769,0.98846,0.0006536,0.0006536,0.0006536
36,940.239,0.55074,0.32067,0.95808,0.9343,0.95679,0.97992,0.83303,0.68084,0.36959,0.99873,0.000614,0.000614,0.000614
37,966.182,0.54575,0.31493,0.96108,0.92346,0.95581,0.9797,0.84248,0.66552,0.36391,0.98646,0.0005744,0.0005744,0.0005744
38,992.313,0.53479,0.3115,0.95781,0.93287,0.95576,0.97968,0.83938,0.6761,0.36863,0.99163,0.0005348,0.0005348,0.0005348
39,1019.11,0.52755,0.30658,0.95199,0.92664,0.95679,0.97929,0.83689,0.67835,0.36718,0.99477,0.0004952,0.0004952,0.0004952
40,1045.64,0.52086,0.30037,0.9464,0.92455,0.95816,0.9779,0.8422,0.67016,0.36695,0.9941,0.0004556,0.0004556,0.0004556
41,1082.98,0.47638,0.25586,0.90949,0.94246,0.95165,0.97865,0.8403,0.67934,0.36096,0.99777,0.000416,0.000416,0.000416
42,1108.96,0.4594,0.24269,0.8996,0.93677,0.95267,0.97883,0.84363,0.6749,0.36214,0.99185,0.0003764,0.0003764,0.0003764
43,1134.96,0.44959,0.23552,0.89104,0.94024,0.9393,0.97935,0.84424,0.66822,0.36416,0.98736,0.0003368,0.0003368,0.0003368
44,1160.95,0.43592,0.23054,0.88855,0.93743,0.95561,0.97862,0.8473,0.66099,0.35387,0.98382,0.0002972,0.0002972,0.0002972
45,1186.93,0.42694,0.22315,0.88325,0.93174,0.95496,0.97687,0.84268,0.66864,0.3523,0.98766,0.0002576,0.0002576,0.0002576
46,1212.92,0.41737,0.21679,0.88069,0.93722,0.95221,0.97977,0.84538,0.66859,0.35268,0.99311,0.000218,0.000218,0.000218
47,1238.86,0.40676,0.21203,0.87505,0.946,0.93724,0.97986,0.84892,0.67128,0.35779,0.99426,0.0001784,0.0001784,0.0001784
48,1264.94,0.4007,0.20971,0.87421,0.92725,0.95729,0.9804,0.84984,0.66559,0.3536,0.99332,0.0001388,0.0001388,0.0001388
49,1291,0.39532,0.20541,0.86887,0.92988,0.955,0.97912,0.84676,0.66899,0.35485,1.00063,9.92e-05,9.92e-05,9.92e-05
50,1316.97,0.38572,0.20103,0.86855,0.93087,0.95473,0.97901,0.84795,0.66667,0.3542,0.99827,5.96e-05,5.96e-05,5.96e-05
